r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order
0.0,0.005,0.0067,-0.015,10.989078521728516,3.048,-2.61009,6.60059,0.7420322340120251,0.6702684789409967,0.011328275475364738,s0005t00067l-0015,46.0
0.0,0.01,0.0067,-0.015,17.047529220581055,-0.132109,-2.95151,5.759958,0.6942457761745533,0.7192392190718067,0.026790819561372477,s001t00067l-0015,47.0
0.015,0.0,0.0067,-0.015,14.156272888183594,3.048,-2.61009,6.60059,0.3325014601516536,0.013979983868448072,-0.9429991193251753,r0015t00067l-0015,48.0
0.015,0.005,0.0067,-0.015,17.30636215209961,-0.132109,-2.95151,5.759958,0.7218587313330507,0.6920268362733308,-0.004339340475609121,r0015s0005t00067l-0015,49.0
0.015,0.01,0.0067,-0.015,26.00272560119629,-0.133193,-2.952593,6.349957,0.7025298503246724,0.7116528995602248,-0.0013999822563482093,r0015s001t00067l-0015,50.0
0.03,0.0,0.0067,-0.015,26.02826499938965,3.048,-2.61009,6.60059,0.1707942300656328,0.00336631882309245,-0.9853009686760026,r003t00067l-0015,51.0
0.03,0.005,0.0067,-0.015,30.35313606262207,-0.133192,-2.952593,6.154656,0.8476873950670942,0.5161945219687725,0.12234907328539399,r003s0005t00067l-0015,52.0
0.03,0.01,0.0067,-0.015,34.82600021362305,-0.133193,-2.952593,6.349957,0.7270152286683809,0.686612007712038,-0.0035788475667493705,r003s001t00067l-0015,53.0
0.0,0.0,0.0133,-0.015,4.199862480163574,-0.132109,-2.95151,5.759958,0.6642779192516782,0.7473244838940376,-0.015522943250914462,t00133l-0015,54.0
0.0,0.005,0.0133,-0.015,14.0394287109375,-0.132109,-2.95151,5.759958,0.6891506385649016,0.7245127314079589,0.012357159599496143,s0005t00133l-0015,55.0
0.0,0.01,0.0133,-0.015,22.74401092529297,-0.132109,-2.95151,5.759958,0.6890897077558227,0.7244169642181445,0.019376186878803613,s001t00133l-0015,56.0
0.015,0.0,0.0133,-0.015,13.583261489868164,-0.133192,-2.952593,6.154656,0.8763571722290411,0.2170731660582098,0.42997365879805205,r0015t00133l-0015,57.0
0.015,0.005,0.0133,-0.015,22.438095092773438,-0.132109,-2.95151,5.759958,0.6904160535951989,0.7234120125169257,-0.0008562033885979802,r0015s0005t00133l-0015,58.0
0.015,0.01,0.0133,-0.015,31.722370147705078,-0.133193,-2.952593,6.349957,0.70970706847862,0.7044968911668503,-8.536818064577468e-05,r0015s001t00133l-0015,59.0
0.03,0.0,0.0133,-0.015,26.15569305419922,0.0,-2.8194,6.447617,0.05824282303728436,0.005567305657419771,0.9982869220180963,r003t00133l-0015,60.0
0.03,0.005,0.0133,-0.015,32.49408721923828,-0.132109,-2.95151,5.759958,0.7432956286266537,0.6689524839723662,-0.0037659861535966265,r003s0005t00133l-0015,61.0
0.03,0.01,0.0133,-0.015,39.500450134277344,-0.133193,-2.952593,6.349957,0.7126934693112145,0.7014755998133835,-4.0836245166186174e-05,r003s001t00133l-0015,62.0
0.0,0.0,0.02,-0.015,9.648879051208496,-0.132109,-2.95151,5.759958,0.672395446422971,0.7401353569439355,-0.009166080466955086,t002l-0015,63.0
0.0,0.005,0.02,-0.015,19.839954376220703,-0.132109,-2.95151,5.759958,0.685283384789715,0.7282307378234631,0.00816547734343058,s0005t002l-0015,64.0
0.0,0.01,0.02,-0.015,28.54001808166504,-0.132109,-2.95151,5.759958,0.6864144704155484,0.727100306478236,0.012661718816866858,s001t002l-0015,65.0
0.015,0.0,0.02,-0.015,15.67200756072998,0.0,-2.8194,6.447617,0.41698190720160067,0.2270986649513023,0.8800865215669716,r0015t002l-0015,66.0
0.015,0.005,0.02,-0.015,28.249393463134766,-0.132109,-2.95151,5.759958,0.6868874005060686,0.7267637653268206,0.0003583768934078171,r0015s0005t002l-0015,67.0
0.015,0.01,0.02,-0.015,37.54301071166992,-0.132109,-2.95151,5.759958,0.6872805719313637,0.7263920411338854,-0.00013424993588858123,r0015s001t002l-0015,68.0
0.03,0.0,0.02,-0.015,28.407245635986328,0.0,-2.8194,6.447617,0.16181181058806912,0.038257130585010034,0.9860797786759509,r003t002l-0015,69.0
0.03,0.005,0.02,-0.015,36.60415267944336,-0.132109,-2.95151,5.759958,0.7013733463344484,0.7127918068826157,0.0018080632272906754,r003s0005t002l-0015,70.0
0.03,0.01,0.02,-0.015,45.26723861694336,-0.133193,-2.952593,6.349957,0.7158099380752831,0.6982949780062769,0.0005062053659092692,r003s001t002l-0015,71.0
0.0,0.005,0.0,0.0,6.953941345214844,-0.132109,-2.95151,5.759958,0.6843116002307568,0.7283378813075095,0.03523584030655615,s0005,73.0
0.0,0.01,0.0,0.0,13.907882690429688,-0.132109,-2.95151,5.759958,0.6843116002307568,0.7283378813075095,0.03523584030655615,s001,74.0
0.015,0.0,0.0,0.0,12.212684631347656,3.048,-2.60858,6.4107,0.9997166514125275,-1.9688658425799073e-07,0.023803715854549407,r0015,75.0
0.015,0.005,0.0,0.0,15.182334899902344,-0.133192,-2.952593,6.154656,0.8417038241906538,0.5265314682811155,0.11957961888449571,r0015s0005,76.0
0.015,0.01,0.0,0.0,19.38993263244629,-0.133193,-2.952593,6.349957,0.7215836756391907,0.6923254129480941,0.0015879663994950875,r0015s001,77.0
0.03,0.0,0.0,0.0,24.425369262695312,3.048,-2.60858,6.4107,0.9997166514125275,-1.9688658425799073e-07,0.023803715854549407,r003,78.0
0.03,0.005,0.0,0.0,28.601266860961914,-0.133192,-2.952593,6.154656,0.8962148099460671,0.3698469768580071,0.24497393359769454,r003s0005,79.0
0.03,0.01,0.0,0.0,30.364669799804688,-0.133192,-2.952593,6.154656,0.8417038241906538,0.5265314682811155,0.11957961888449571,r003s001,80.0
0.0,0.0,0.0067,0.0,5.801775932312012,0.0,-2.8194,6.447617,0.454357430901085,0.890791549870757,0.007052635239418631,t00067,81.0
0.0,0.005,0.0067,0.0,16.92026710510254,-0.132109,-2.95151,5.759958,0.6815710708691909,0.7316565724230182,0.011812509658206287,s0005t00067,82.0
0.0,0.01,0.0067,0.0,28.524763107299805,-0.132109,-2.95151,5.759958,0.6821453570828442,0.731065336202086,0.01487232376092618,s001t00067,83.0
0.015,0.0,0.0067,0.0,14.336288452148438,0.0,-2.8194,6.447617,0.1791915189294094,0.04406630482332173,0.982826821125161,r0015t00067,84.0
0.015,0.005,0.0067,0.0,27.01751708984375,-0.132109,-2.95151,5.759958,0.6832522156654247,0.7301805754950411,0.0016543754164450588,r0015s0005t00067,85.0
0.015,0.01,0.0067,0.0,39.319313049316406,-0.132109,-2.95151,5.759958,0.6830327693031855,0.7303869516142549,0.001066287792989033,r0015s001t00067,86.0
0.03,0.0,0.0067,0.0,26.798009872436523,0.0,-2.8194,6.447617,0.08146005818146872,0.009590722810437189,0.9966304615839541,r003t00067,87.0
0.03,0.005,0.0067,0.0,36.979618072509766,-0.132109,-2.95151,5.759958,0.6963040587317,0.7177326325673403,0.004530556446708718,r003s0005t00067,88.0
0.03,0.01,0.0067,0.0,48.690887451171875,-0.132109,-2.95151,5.759958,0.6840229433148155,0.7294582648998372,0.0018035487949448505,r003s001t00067,89.0
0.0,0.0,0.0133,0.0,11.516958236694336,0.0,-2.8194,6.447617,0.454357258312299,0.890791637906336,0.0070526346196406,t00133,90.0
0.0,0.005,0.0133,0.0,22.158790588378906,-0.132109,-2.95151,5.759958,0.6808734816924807,0.7323546674149137,0.00824275703573632,s0005t00133,91.0
0.0,0.01,0.0133,0.0,33.76117706298828,-0.132109,-2.95151,5.759958,0.6815782338065385,0.7316493223505123,0.011848219494745073,s001t00133,92.0
0.015,0.0,0.0133,0.0,16.19691276550293,0.0,-2.8194,6.447617,0.5564467975871291,0.38041760304574945,0.738680857169018,r0015t00133,93.0
0.015,0.005,0.0133,0.0,32.28919982910156,-0.132109,-2.95151,5.759958,0.6822809907644309,0.7310878886174581,0.0017744741118500829,r0015s0005t00133,94.0
0.015,0.01,0.0133,0.0,44.595001220703125,-0.132109,-2.95151,5.759958,0.6824211295859886,0.7309584280373504,0.0010855301694449788,r0015s001t00133,95.0
0.03,0.0,0.0133,0.0,28.644569396972656,0.0,-2.8194,6.447617,0.1774456444227008,0.04324180949265431,0.9831801407612002,r003t00133,96.0
0.03,0.005,0.0133,0.0,41.69120407104492,-0.132109,-2.95151,5.759958,0.6841422449390797,0.7293421850852008,0.0030603504473714674,r003s0005t00133,97.0
0.03,0.01,0.0133,0.0,53.95522689819336,-0.133193,-2.952593,6.349957,0.7277366758418938,0.6858557824957295,0.0010845514100577423,r003s001t00133,98.0
